,train_RMSE,val_RMSE,test_RMSE,forecast_RMSE,train_MAE,val_MAE,test_MAE,forecast_MAE,train_R2,val_R2,test_R2,forecast_R2
total (iter3),0.0024826032517370066,0.15656134827825754,0.17014135072443107,0.19004785092268986,0.0016406407843986242,0.12498832299168709,0.13392149388542282,0.16176017356272343,0.9998211033199906,0.3958409747450728,0.28170976029732,0.0344950764304286
retailer_type_1 (iter3),0.0039037748524661433,0.025349379222265673,0.06987190345800774,0.08385142735806424,0.0023575037943341336,0.02035506077017252,0.04261996755700906,0.06566620231939563,0.9981670131947897,0.49342201801497537,0.5904773836220106,0.3126454711486732
retailer_type_2 (iter3),0.003893024121405547,0.017009444696743942,0.032991174568390354,0.040532108248856995,0.0027829836836601686,0.014232979458583275,0.024840296821738217,0.0349048447461574,0.990497742985042,0.7314303588078183,0.2825703377559186,0.08744225363028153
retailer_type_3 (iter3),0.0018697973255754649,0.026901466841900173,0.06828661729824752,0.10274266875703571,0.001454871797651277,0.020682384768533447,0.05649121890576245,0.0881469714796946,0.9992907239187399,0.9077111687912836,0.3001324432188079,0.013406571955029645
