,train_RMSE,val_RMSE,test_RMSE,forecast_RMSE,train_MAE,val_MAE,test_MAE,forecast_MAE,train_R2,val_R2,test_R2,forecast_R2
total (iter2),0.001643643918861361,0.19989203901425265,0.1962099250419337,0.19670394703026647,0.0010107403269457916,0.1487839081303345,0.16415483250155372,0.1601973824896531,0.9999296103633054,0.25655524386503575,0.10006646538627735,0.04973807684834428
retailer_type_1 (iter2),0.003529186419433366,0.022556691527959576,0.04820537751974158,0.08669919626706271,0.0026416447309982353,0.017683476789131385,0.028105681561777687,0.0583821223826817,0.9985513476152512,0.5684863865632701,0.8774050257274608,0.1726867421766161
retailer_type_2 (iter2),0.003040103945391547,0.02198725115719242,0.0312275599781738,0.04866070946785833,0.0013748396464611035,0.018356105420981903,0.025093518491391457,0.04278365817785113,0.9928186659685089,0.6399129366014774,0.35737089237823094,0.39664968401161355
retailer_type_3 (iter2),0.006209397756197642,0.02718565069328771,0.06860272221062828,0.09301093823181311,0.004690170537207711,0.023070157627920463,0.05353831824956829,0.07880655267692364,0.9934145996974906,0.9162223284135131,0.32389974860188286,0.0033351401033241395
