,train_RMSE,val_RMSE,test_RMSE,forecast_RMSE,train_MAE,val_MAE,test_MAE,forecast_MAE,train_R2,val_R2,test_R2,forecast_R2
total (iter1),0.0026141851923710724,0.1838704276527177,0.3366770113536034,0.2727371613860477,0.0016877847154703357,0.10370143645024496,0.3179557719744123,0.26000934422093497,0.9997127584400468,0.5049387937849457,0.30642069174754055,0.1836574520273526
retailer_type_1 (iter1),0.004621302619469992,0.040080158123496266,0.053195450101782324,0.05932473219907581,0.0033610267398161784,0.03175502726310667,0.049548543559572215,0.05526068064767964,0.9975390766310444,0.8642509418138237,0.08544366973106818,0.02343394867913911
retailer_type_2 (iter1),0.002303265684787368,0.03525673358242734,0.07350691258843442,0.07017854468648155,0.0015780821565265046,0.02316721925105092,0.06946586002636292,0.06674494061687834,0.9919906154187074,0.6896256103779868,0.014855447720445345,0.20615563156464498
retailer_type_3 (iter1),0.004248386579497762,0.05797299059489819,0.09483272046005822,0.09542922487664895,0.0031695232951741985,0.040078966708390056,0.08323256902588316,0.08380509150716571,0.9911306878418225,0.6342060099796011,0.3351489309904393,0.526373166934847
